2023-12-27 14:29:43,dynamic,crosswalks
2023-12-27 14:29:43,Type1,cars
2023-12-27 14:29:46,Type1,cars
2023-12-27 14:29:47,Type1,cars
2023-12-27 14:29:48,SOLVED,captcha solved
