2023-12-27 14:55:33,Type2,motorcycles
2023-12-27 14:55:47,Type2,bicycles
2023-12-27 14:56:01,Type1,bridges
2023-12-27 14:56:02,Type1,bridges
2023-12-27 14:56:03,Type1,cars
2023-12-27 14:56:04,Type2,crosswalks
2023-12-27 14:56:05,Type2,motorcycles
2023-12-27 14:56:12,Type2,motorcycles
2023-12-27 14:56:21,Type2,fire hydrants
2023-12-27 14:56:30,Type2,motorcycles
2023-12-27 14:56:38,Type2,crosswalks
2023-12-27 14:56:39,Type2,buses
2023-12-27 14:56:50,Type2,motorcycles
2023-12-27 14:56:59,Type2,fire hydrants
2023-12-27 14:57:10,Type2,motorcycles
2023-12-27 14:57:18,Type2,motorcycles
2023-12-27 14:57:23,Type2,crosswalks
2023-12-27 14:57:25,Type2,motorcycles
2023-12-27 14:57:26,dynamic,crosswalks
2023-12-27 14:57:42,dynamic,crosswalks
2023-12-27 14:57:47,dynamic,crosswalks
2023-12-27 14:57:53,dynamic,crosswalks
2023-12-27 14:57:59,dynamic,crosswalks
2023-12-27 14:58:04,dynamic,crosswalks
2023-12-27 14:58:10,SOLVED,captcha solved
