2023-12-27 15:26:30,dynamic,bus
2023-12-27 15:26:31,Type2,motorcycles
2023-12-27 15:26:33,Type2,motorcycles
2023-12-27 15:26:46,Type2,motorcycles
2023-12-27 15:26:58,Type2,traffic lights
2023-12-27 15:26:58,Type2,motorcycles
2023-12-27 15:27:06,Type2,motorcycles
2023-12-27 15:27:16,SOLVED,captcha solved
