2023-12-27 14:58:25,Type2,motorcycles
2023-12-27 14:58:30,Type2,traffic lights
2023-12-27 14:58:32,Type2,motorcycles
2023-12-27 14:58:40,Type2,motorcycles
2023-12-27 14:58:47,Type2,motorcycles
2023-12-27 14:58:58,Type2,motorcycles
2023-12-27 14:59:08,Type2,bicycles
2023-12-27 14:59:19,Type2,bicycles
2023-12-27 14:59:29,Type2,buses
2023-12-27 14:59:40,Type2,traffic lights
2023-12-27 14:59:43,Type2,traffic lights
2023-12-27 14:59:46,Type2,crosswalks
2023-12-27 14:59:47,Type2,traffic lights
2023-12-27 14:59:55,Type2,bicycles
2023-12-27 15:00:04,SOLVED,captcha solved
