2023-12-27 12:02:11,Type2,traffic lights
2023-12-27 12:02:12,Type2,buses
2023-12-27 12:02:13,Type2,buses
2023-12-27 12:02:16,Type2,buses
2023-12-27 12:02:19,Type2,motorcycles
2023-12-27 12:02:20,Type2,motorcycles
2023-12-27 12:02:26,Type2,stairs
2023-12-27 12:02:27,Type2,stairs
2023-12-27 12:02:27,Type2,bicycles
2023-12-27 12:02:28,Type2,bicycles
2023-12-27 12:02:29,Type2,traffic lights
2023-12-27 12:02:29,Type2,traffic lights
2023-12-27 12:02:30,Type2,bicycles
2023-12-27 12:02:34,Type2,bicycles
2023-12-27 12:02:35,Type2,bicycles
2023-12-27 12:02:35,Type2,motorcycles
2023-12-27 12:02:36,Type2,crosswalks
2023-12-27 12:02:36,Type2,motorcycles
2023-12-27 12:02:37,Type2,motorcycles
2023-12-27 12:02:40,Type2,motorcycles
2023-12-27 12:02:42,Type2,fire hydrants
2023-12-27 12:02:43,Type2,fire hydrants
2023-12-27 12:02:47,dynamic,bicycles
2023-12-27 12:02:48,Type2,bicycles
2023-12-27 12:02:51,Type2,motorcycles
2023-12-27 12:02:52,Type2,motorcycles
2023-12-27 12:02:56,Type2,motorcycles
2023-12-27 12:03:04,SOLVED,captcha solved
