2023-12-27 12:12:05,dynamic,bus
2023-12-27 12:12:06,Type2,motorcycles
2023-12-27 12:12:11,Type2,motorcycles
2023-12-27 12:12:12,Type2,motorcycles
2023-12-27 12:12:16,Type2,motorcycles
2023-12-27 12:12:23,SOLVED,captcha solved
